comment,label
slide giáo trình đầy đủ .,2
Bạn bè em fan jack nên em ghét trường 👌,0
trường không phát người yêu gì cả .,0
"Trường tốt không chỉ cơ sở vật chất, đội ngũ giáo viên mà còn cả về chất lượng đầu ra nữa .",2
"Trường học rộng rãi thoáng mát, sinh viên thì chăm học .",2
Em ghét trường 😡 .,0
trường học như ngôi nhà thứ 2 của em 😍,2
"Điều hoà hỏng, thích hợp để về chứ học cái gì 🤣 .",0
"CHẠY NGAY ĐI, do dự tiền đình mất ",0
Trường học không có gì đặc biệt. ,1
Chạy đi em ơi ,0
học nhàn nên sắp ko còn tóc ,0
Cứ phải gọi là bào sức hết mức🥰 ,0
"Trường học nhiều gái xinh, em thích lắm :D ",2
"nhiệt tình giảng dạy , gần gũi với sinh viên .",2
đi học đầy đủ full điểm chuyên cần .,0
chưa áp dụng công nghệ thông tin và các thiết bị hỗ trợ cho việc giảng dạy .,0
"thầy giảng bài hay , có nhiều bài tập ví dụ ngay trên lớp .",2
"giảng viên đảm bảo thời gian lên lớp , tích cực trả lời câu hỏi của sinh viên , thường xuyên đặt câu hỏi cho sinh viên .",2
"em sẽ nợ môn này , nhưng em sẽ học lại ở các học kỳ kế tiếp .",1
"thời lượng học quá dài , không đảm bảo tiếp thu hiệu quả .",0
"nội dung môn học có phần thiếu trọng tâm , hầu như là chung chung , khái quát khiến sinh viên rất khó nắm được nội dung môn học .",0
cần nói rõ hơn bằng cách trình bày lên bảng thay vì nhìn vào slide .,0
thầy rất tận tình và đi dạy rất đúng giờ .,2
dễ bị áp lực .,0
"đang dạy thầy wzjwz208 đi qua nước ngoài giữa chừng , thầy wzjwz209 dạy thay .",1
môn học còn dễ cần nâng độ khó lên nữa .,0
"có thể cho sinh viên đi thăm quan nhiều công ty xem quy mô và cách làm việc , để giúp hiểu rõ hơn vê ngành mình đang học .",0
hài lòng về tất cả .,2
"nhiệt tình , vui vẻ .",2
thấy nhiệt tình trong việc trao đổi giúp đỡ về học tập .,2
phong cách giảng bài của thầy rất gần gũi với sinh viên !,2
giảng dạy kết hợp các hoạt động giải trí có hiệu quả .,2
cần tạo các buổi seminar để sinh viên có thể hiểu sâu thêm về các vấn đề trong chuyên ngành nhưng không có trong môn học .,0
tiết học thoải mái .,2
"thầy nhiệt tình , quan tâm tới sinh viên .",2
"giảng dạy nhiệt tình , hướng dẫn chi tiết đến lúc sinh viên hiểu !",2
"chưa có nhiều tiết làm bài tập , chữa bài tập trên lớp .",0
